IsoCode;Name
BG;EN Bulgarian,BG Български,DE Bulgarisch
CA;EN Catalan,ES Catalán,CA Català,DE Katalanisch
CA-VALENCIA;EN Valencian,ES Valenciano,CA-VALENCIA Valencià,DE Valencianisch
CS;EN Czech,CS Česky,DE Tschechisch
DE;EN German,DE Deutsch
EN;EN English,DE Englisch
ES;EN Spanish,ES Español,DE Spanisch
ET;EN Estonian,ET Eesti,DE Estnisch
EU;EN Basque,EU Euskara,ES Euskera (Vascuence),DE Baskisch
FR;EN French,FR français,DE Französisch
GA;EN Irish,GA Gaeilge,DE Irisch
GL;EN Galician,GL Galego,ES Gallego,PT Galego,DE Galicisch
HR;EN Croatian,HR Hrvatska,DE Kroatisch
HU;EN Hungarian,HU Magyarország,DE Ungarisch
IT;EN Italian,IT Italiano,DE Italienisch
LB;EN Luxembourgish,LB Lëtzebuergesch,DE Luxemburgisch
LT;EN Lithuanian,LT Lietuvių,DE Litauisch,FR lituanien
LV;EN Latvian,LV Latviešu,DE Lettisch
MT;EN Maltese,MT Malti,DE Maltesisch
NL;EN Dutch,NL Nederlands,DE Niederländisch
OC-ES;EN Aranese,OC-ES Aranés,ES Aranés,DE Aranesisch
PL;EN Polish,PL Polska,DE Polnisch
RM;EN Romansh,RM Rumantsch,DE Rätoromanisch
SL;EN Slovenian,SL Slovenski,DE Slowenisch
SK;EN Slovak,SK Slovenský,DE Slowakisch